---------------------------------------------------------------------------------------------------------------
  Module Name                             | Clock Name                             | Supported Frequencies(Hz) 
 * PMHAL_PRCM_MOD_ELM                     | PMHAL_PRCM_CLK_L4PER_L4_GICLK          | 133000000
 * PMHAL_PRCM_MOD_HDQ1W                   | PMHAL_PRCM_CLK_L4PER_L3_GICLK          | 266000000
 * PMHAL_PRCM_MOD_HDQ1W                   | PMHAL_PRCM_CLK_L4PER_L4_GICLK          | 133000000
 * PMHAL_PRCM_MOD_HDQ1W                   | PMHAL_PRCM_CLK_PER_12M_GFCLK           | 12000000
 * PMHAL_PRCM_MOD_MCSPI1                  | PMHAL_PRCM_CLK_L4PER_L3_GICLK          | 266000000
 * PMHAL_PRCM_MOD_MCSPI1                  | PMHAL_PRCM_CLK_L4PER_L4_GICLK          | 133000000
 * PMHAL_PRCM_MOD_MCSPI1                  | PMHAL_PRCM_CLK_PER_48M_GFCLK           | 48000000
 * PMHAL_PRCM_MOD_MCSPI2                  | PMHAL_PRCM_CLK_L4PER_L3_GICLK          | 266000000
 * PMHAL_PRCM_MOD_MCSPI2                  | PMHAL_PRCM_CLK_L4PER_L4_GICLK          | 133000000
 * PMHAL_PRCM_MOD_MCSPI2                  | PMHAL_PRCM_CLK_PER_48M_GFCLK           | 48000000
 * PMHAL_PRCM_MOD_MCSPI3                  | PMHAL_PRCM_CLK_L4PER_L3_GICLK          | 266000000
 * PMHAL_PRCM_MOD_MCSPI3                  | PMHAL_PRCM_CLK_L4PER_L4_GICLK          | 133000000
 * PMHAL_PRCM_MOD_MCSPI3                  | PMHAL_PRCM_CLK_PER_48M_GFCLK           | 48000000
 * PMHAL_PRCM_MOD_MCSPI4                  | PMHAL_PRCM_CLK_L4PER_L3_GICLK          | 266000000
 * PMHAL_PRCM_MOD_MCSPI4                  | PMHAL_PRCM_CLK_L4PER_L4_GICLK          | 133000000
 * PMHAL_PRCM_MOD_MCSPI4                  | PMHAL_PRCM_CLK_PER_48M_GFCLK           | 48000000
 * PMHAL_PRCM_MOD_UART1                   | PMHAL_PRCM_CLK_L4PER_L3_GICLK          | 266000000
 * PMHAL_PRCM_MOD_UART1                   | PMHAL_PRCM_CLK_L4PER_L4_GICLK          | 133000000
 * PMHAL_PRCM_MOD_UART1                   | PMHAL_PRCM_CLK_UART1_GFCLK             | 192000000, 48000000
 * PMHAL_PRCM_MOD_UART2                   | PMHAL_PRCM_CLK_L4PER_L3_GICLK          | 266000000
 * PMHAL_PRCM_MOD_UART2                   | PMHAL_PRCM_CLK_L4PER_L4_GICLK          | 133000000
 * PMHAL_PRCM_MOD_UART2                   | PMHAL_PRCM_CLK_UART2_GFCLK             | 192000000, 48000000
 * PMHAL_PRCM_MOD_UART3                   | PMHAL_PRCM_CLK_L4PER_L3_GICLK          | 266000000
 * PMHAL_PRCM_MOD_UART3                   | PMHAL_PRCM_CLK_L4PER_L4_GICLK          | 133000000
 * PMHAL_PRCM_MOD_UART3                   | PMHAL_PRCM_CLK_UART3_GFCLK             | 192000000, 48000000
 * PMHAL_PRCM_MOD_UART4                   | PMHAL_PRCM_CLK_L4PER_L3_GICLK          | 266000000
 * PMHAL_PRCM_MOD_UART4                   | PMHAL_PRCM_CLK_L4PER_L4_GICLK          | 133000000
 * PMHAL_PRCM_MOD_UART4                   | PMHAL_PRCM_CLK_UART4_GFCLK             | 192000000, 48000000
 * PMHAL_PRCM_MOD_UART5                   | PMHAL_PRCM_CLK_L4PER_L3_GICLK          | 266000000
 * PMHAL_PRCM_MOD_UART5                   | PMHAL_PRCM_CLK_L4PER_L4_GICLK          | 133000000
 * PMHAL_PRCM_MOD_UART5                   | PMHAL_PRCM_CLK_UART5_GFCLK             | 192000000, 48000000
 * PMHAL_PRCM_MOD_GPIO2                   | PMHAL_PRCM_CLK_L4PER_L3_GICLK          | 266000000
 * PMHAL_PRCM_MOD_GPIO2                   | PMHAL_PRCM_CLK_L4PER_L4_GICLK          | 133000000
 * PMHAL_PRCM_MOD_GPIO2                   | PMHAL_PRCM_CLK_GPIO_GFCLK              | 32786
 * PMHAL_PRCM_MOD_GPIO3                   | PMHAL_PRCM_CLK_L4PER_L3_GICLK          | 266000000
 * PMHAL_PRCM_MOD_GPIO3                   | PMHAL_PRCM_CLK_L4PER_L4_GICLK          | 133000000
